B21,NORTH OCB 12 SEB TR1 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B22,NORTH OCB 13 SS 37 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B23,NORTH OCB 14 SS 64 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B24,NORTH OCB 16 SS 5 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B25,NORTH OCB 15 SEB TR2 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B26,NORTH OCB 19 M1 2 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B27,NORTH OCB 20 M1 7 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B28,NORTH OCB 4 SS 75 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B29,NORTH TR 3 4 KV DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B30,NORTH TR 1 2 KV DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B31,NORTH OCB 21 M1 3 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B32,NORTH OCB 7 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B33,NORTH OCB 11 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B34,NORTH AI DISCR SPARE 5,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B35,NORTH UPS ALARM 3,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B36,NORTH PLC B WATCHDOG BIT,,A13,0,1,JNEVER,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B38,WEST NORTH CHANGEOVER STATUS,,A16,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B39,WEST NORTH CHANGEOVER ENABLE,,A16,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B40,WEST NORTH CHANGEOVER DISABLE,,A16,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B41,NORTH PLC A WATCHDOG BIT,,A13,0,1,JNEVER,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B42,NORTH SELECT A DUTY,,A13,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B43,NORTH SELECT B DUTY,,A13,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B44,SOUTH A IS DUTY,,A13,0,1,JCHANGE,0,0,A_WRITE_DB_AND_OS,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_24H,,,YES,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B45,NORTH B IS DUTY,,A13,0,1,JCHANGE,0,0,A_WRITE_DB_AND_OS,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_24H,,,YES,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B46,NORTH INTRUDER ALARM DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
B47,NORTH UPS ALARM 3 DISCR,,A14,0,1,JCHANGE,0,0,ARCHIVE_METHOD_INVALID,PA_60S,01-Jan-1970 00:00:00,FPB_NONE,FPA_NONE,SP_15M,,,NO,SP_15M,,,,,,NO,NO,UNKNOWN_PERIOD
